#arb_time(seconds) flux_density(Jy/beam)
2.244544397650000174e+06 5.242530000000000356e+00
2.244544897650000174e+06 3.565300000000000136e+00
2.244545397650000174e+06 3.089490000000000069e+00
2.244545897650000174e+06 2.347329999999999917e+00
2.244546397650000174e+06 1.152830000000000021e+00
2.244546897650000174e+06 1.555579999999999963e+00
2.244547397650000174e+06 1.099050000000000082e+00
2.244547897650000174e+06 8.973419999999999730e-01
2.244548397600000259e+06 7.915229999999999766e-01
2.244548897600000259e+06 3.980199999999999849e-01
2.244549397600000259e+06 8.312100000000000044e-01
2.244549897600000259e+06 2.502650000000000152e-01
2.244550397600000259e+06 -1.144870000000000054e-01
2.244550897600000259e+06 3.450599999999999778e-01
2.244551397600000259e+06 -5.662909999999999888e-01
2.244551897600000259e+06 3.390839999999999965e-01
2.244552397600000259e+06 -5.998909999999999521e-01
2.244552897600000259e+06 -6.584889999999999910e-01
2.244553397600000259e+06 4.601359999999999895e-01
2.244553897600000259e+06 -1.134379999999999972e-01
2.244554397600000259e+06 7.240269999999999762e-01
2.244554897600000259e+06 -2.923600000000000088e-01
2.244555397600000259e+06 -1.218079999999999996e-01
2.244555897600000259e+06 1.197420000000000012e-01
2.244556397600000259e+06 -2.356719999999999926e-01
2.244556897600000259e+06 6.001800000000000468e-01
2.244557397600000259e+06 -2.187800000000000022e-01
2.244557897600000259e+06 6.810540000000000482e-01
2.244558397600000259e+06 4.241309999999999802e-01
2.244558897600000259e+06 -8.384409999999999918e-01
2.244559397600000259e+06 4.752640000000000198e-01
2.244559897600000259e+06 -1.020469999999999988e-01
2.244560397600000259e+06 -2.682320000000000260e-01
2.244560897600000259e+06 1.878960000000000075e-01
2.244561397600000259e+06 -9.683790000000000453e-02
2.244561897600000259e+06 2.026999999999999913e-01
2.244562397600000259e+06 -2.139260000000000050e-01
2.244562897600000259e+06 -7.033750000000000072e-03
2.244563397600000259e+06 -2.216100000000000014e-01
2.244563897600000259e+06 -6.600549999999999473e-01
2.244564397600000259e+06 4.054760000000000308e-02
2.244564897600000259e+06 -7.573020000000000307e-01
2.244565397600000259e+06 -3.943499999999999783e-01
2.244565897600000259e+06 3.683719999999999772e-01
2.244566397600000259e+06 7.943710000000000493e-01
2.244566897600000259e+06 -3.339140000000000164e-02
2.244567397600000259e+06 2.334730000000000139e-01
2.244567897600000259e+06 5.057460000000000289e-01
2.244568397600000259e+06 2.346380000000000132e-01
2.244568897600000259e+06 2.099469999999999947e-01
2.244569397600000259e+06 -5.993939999999999824e-01
2.244569897600000259e+06 -2.132600000000000121e-03
2.244570397600000259e+06 3.763630000000000031e-01
2.244570897600000259e+06 -8.135920000000000651e-02
2.244571397600000259e+06 -6.188459999999999794e-02
2.244571897600000259e+06 -5.921159999999999757e-01
2.244572397600000259e+06 9.146410000000000373e-01
2.244572897600000259e+06 -2.498259999999999925e-01
2.244573397600000259e+06 4.408909999999999774e-01
2.244573897600000259e+06 1.407820000000000078e-02
2.244574397600000259e+06 6.265729999999999911e-02
2.244574897600000259e+06 5.773430000000000506e-01
2.244575397600000259e+06 9.071280000000000454e-01
2.244575897600000259e+06 -2.179840000000000111e-01
2.244576397600000259e+06 8.604990000000000139e-01
2.244576897600000259e+06 -3.145130000000000148e-02
2.244577397600000259e+06 2.802589999999999804e-01
2.244577897600000259e+06 1.159440000000000026e+00
2.244578397600000259e+06 6.032380000000000519e-01
2.244578897600000259e+06 -3.301029999999999798e-01
2.244579397600000259e+06 3.204190000000000094e-01
2.244579897600000259e+06 4.635050000000000003e-01
2.244580397600000259e+06 -6.030100000000000043e-02
2.244580897600000259e+06 -6.178000000000000158e-02
2.244581397600000259e+06 8.846180000000000154e-01
2.244581897600000259e+06 5.167770000000000419e-01
2.244582397600000259e+06 -1.053719999999999934e-01
2.244582897600000259e+06 -3.927280000000000215e-01
2.244583397600000259e+06 2.401820000000000066e-01
2.244583897600000259e+06 8.906690000000000440e-01
2.244584397600000259e+06 -6.581019999999999925e-02
2.244584897600000259e+06 3.277370000000000005e-01
2.244585397600000259e+06 -3.016750000000000265e-01
2.244585897600000259e+06 -4.724030000000000173e-01
2.244586397600000259e+06 1.777930000000000066e-01
2.244586897600000259e+06 -9.463179999999999925e-01
2.244587397600000259e+06 -1.217909999999999965e-01
2.244587897600000259e+06 1.311900000000000011e-01
2.244588397600000259e+06 3.592839999999999923e-01
2.244588897600000259e+06 -5.547320000000000029e-01
2.244589397600000259e+06 1.088240000000000096e+00
2.244589897600000259e+06 4.681299999999999906e-01
2.244590397600000259e+06 -3.198540000000000272e-01
2.244590897600000259e+06 6.923870000000000025e-02
2.244591397600000259e+06 -3.520159999999999956e-01
2.244591897600000259e+06 9.933229999999999837e-02
2.244592397600000259e+06 2.309130000000000071e-01
2.244592897600000259e+06 -8.372400000000000328e-03
2.244593397600000259e+06 -2.740819999999999923e-01
2.244593897600000259e+06 -4.838089999999999752e-02
2.244594397600000259e+06 -4.691609999999999947e-01
2.244594897600000259e+06 4.988850000000000229e-02
2.244595397600000259e+06 -5.647159999999999958e-01
2.244595897600000259e+06 3.264469999999999872e-01
2.244596397600000259e+06 -3.038619999999999863e-02
2.244596897600000259e+06 4.118399999999999839e-01
2.244597397600000259e+06 3.437459999999999960e-01
2.244597897600000259e+06 -1.546700000000000019e-01
2.244598397600000259e+06 -5.784200000000000452e-01
2.244598897600000259e+06 2.246599999999999986e-01
2.244599397600000259e+06 2.713219999999999868e-02
2.244599897600000259e+06 -1.249179999999999957e+00
2.244600397600000259e+06 1.897179999999999978e-01
2.244600897600000259e+06 -3.941589999999999816e-01
2.244601397600000259e+06 -2.438849999999999907e-01
2.244601897600000259e+06 -2.798140000000000072e-01
2.244602397600000259e+06 -5.371120000000000339e-01
2.244602897600000259e+06 8.544239999999999613e-01
2.244603397600000259e+06 -2.402209999999999901e-01
2.244603897600000259e+06 -3.795359999999999845e-01
2.244604397600000259e+06 5.432500000000000107e-01
2.244604897600000259e+06 -5.108019999999999783e-01
2.244605397600000259e+06 2.639870000000000064e-02
2.244605897600000259e+06 6.031699999999999839e-01
2.244606397600000259e+06 -8.585450000000000026e-01
2.244606897600000259e+06 2.440450000000000119e-01
2.244607397600000259e+06 5.378699999999999593e-01
2.244607897600000259e+06 -1.038429999999999964e+00
2.244608397600000259e+06 2.506600000000000147e-02
2.244608897600000259e+06 7.699730000000000185e-01
2.244609397600000259e+06 -6.420590000000000463e-01
2.244609897600000259e+06 -3.193179999999999907e-01
2.244610397600000259e+06 6.977490000000000081e-02
2.244610897600000259e+06 -8.996300000000000407e-01
2.244611397600000259e+06 9.062400000000000455e-01
2.244611897600000259e+06 1.517789999999999973e-01
2.244612397600000259e+06 3.231040000000000023e-01
2.244612897600000259e+06 -3.721739999999999771e-02
2.244613397600000259e+06 -4.334370000000000167e-01
2.244613897600000259e+06 2.318020000000000080e-01
2.244614397600000259e+06 1.990250000000000075e-01
2.244614897600000259e+06 -1.113009999999999972e-01
2.244615397600000259e+06 -3.842169999999999752e-01
2.244615897600000259e+06 -1.290320000000000078e-01
2.244616397600000259e+06 -1.589830000000000132e-01
2.244616897600000259e+06 1.411239999999999994e-01
2.244617397600000259e+06 -2.424910000000000121e-01
2.244617897600000259e+06 5.821739999999999693e-01
2.244618397600000259e+06 -2.368780000000000052e-01
2.244618897600000259e+06 5.498610000000000442e-01
2.244619397600000259e+06 1.024240000000000012e-01
2.244619897600000259e+06 3.453010000000000107e-02
2.244620397600000259e+06 7.157480000000000508e-01
2.244620897600000259e+06 3.086380000000000234e-01
2.244621397600000259e+06 -4.241079999999999850e-01
2.244621897600000259e+06 4.485120000000000218e-01
2.244622397600000259e+06 -5.038380000000000081e-01
2.244622897600000259e+06 8.612119999999999775e-01
2.244623397600000259e+06 -3.097460000000000213e-01
2.244623897600000259e+06 1.533259999999999901e-01
2.244624397600000259e+06 -5.121440000000000020e-02
2.244624897600000259e+06 2.716109999999999913e-01
2.244625397600000259e+06 8.946539999999999493e-01
2.244625897600000259e+06 4.980800000000000227e-01
2.244626397600000259e+06 2.529669999999999974e-01
2.244626897600000259e+06 4.561049999999999827e-01
2.244627397600000259e+06 -4.117450000000000276e-01
2.244627897600000259e+06 9.677149999999999919e-01
2.244628397600000259e+06 -4.174869999999999970e-01
2.244628897600000259e+06 5.658199999999999896e-01
2.244629397600000259e+06 7.977379999999999471e-01
2.244629897600000259e+06 2.371360000000000134e-01
2.244630397600000259e+06 7.336829999999999741e-01
2.244630897600000259e+06 -1.020310000000000050e+00
2.244631397600000259e+06 -6.532920000000000393e-02
2.244631897600000259e+06 -2.725130000000000052e-01
2.244632397600000259e+06 4.168109999999999871e-01
2.244632897600000259e+06 4.756230000000000180e-01
2.244633397600000259e+06 -1.153729999999999922e+00
2.244633897600000259e+06 -5.400000000000000355e-01
2.244634397600000259e+06 3.364010000000000056e-01
2.244634897600000259e+06 3.860940000000000205e-02
2.244635397600000259e+06 4.256480000000000263e-01
2.244635897600000259e+06 1.217820000000000014e-01
2.244636397600000259e+06 3.078629999999999978e-01
2.244636897600000259e+06 4.609920000000000129e-01
2.244637397600000259e+06 -6.114439999999999875e-01
2.244637897600000259e+06 5.054269999999999596e-01
2.244638397600000259e+06 2.429350000000000120e-01
2.244638897600000259e+06 -3.995360000000000023e-01
2.244639397600000259e+06 7.582109999999999683e-01
2.244639897600000259e+06 2.375990000000000046e-01
2.244640397600000259e+06 2.360069999999999946e-01
2.244640897600000259e+06 -5.122510000000000119e-01
2.244641397600000259e+06 -5.337009999999999810e-01
2.244641897600000259e+06 9.149220000000000130e-01
2.244642397600000259e+06 7.124049999999999550e-01
2.244642897600000259e+06 1.332109999999999961e-01
2.244643397600000259e+06 -2.463190000000000102e-01
2.244643897600000259e+06 -4.911769999999999747e-01
2.244644397600000259e+06 2.638059999999999797e-03
2.244644897600000259e+06 -9.934210000000000262e-02
2.244645397600000259e+06 -2.923239999999999728e-01
2.244645897600000259e+06 7.798449999999999827e-02
2.244646397600000259e+06 7.398850000000000149e-01
2.244646897600000259e+06 1.634710000000000052e-01
2.244647397600000259e+06 -6.341059999999999475e-01
2.244647897600000259e+06 -1.907939999999999914e-01
2.244648397600000259e+06 4.967300000000000187e-02
2.244648897600000259e+06 -7.509350000000000191e-01
2.244649397600000259e+06 3.255179999999999740e-01
2.244649897600000259e+06 -9.611830000000000096e-01
2.244650397600000259e+06 -1.593249999999999944e-01
2.244650897600000259e+06 -8.017309999999999715e-01
2.244651397600000259e+06 4.506539999999999990e-01
2.244651897600000259e+06 3.446279999999999899e-01
2.244652397600000259e+06 1.048040000000000083e+00
2.244652897600000259e+06 -8.937779999999999336e-02
2.244653397600000259e+06 2.173889999999999989e-01
2.244653897600000259e+06 9.957160000000000455e-01
2.244654397600000259e+06 -5.801730000000000498e-01
2.244654897600000259e+06 4.002159999999999745e-02
2.244655397600000259e+06 1.098940000000000056e-01
2.244655897600000259e+06 3.781360000000000277e-01
2.244656397600000259e+06 -7.494800000000000351e-01
2.244656897600000259e+06 4.462829999999999853e-01
2.244657397600000259e+06 -3.980549999999999922e-01
2.244657897600000259e+06 1.346710000000000129e-01
2.244658397600000259e+06 -1.361350000000000060e-01
2.244658897600000259e+06 -5.957409999999999650e-01
2.244659397600000259e+06 4.000650000000000039e-01
2.244659897600000259e+06 -4.820959999999999829e-02
2.244660397600000259e+06 1.011249999999999982e+00
2.244660897600000259e+06 -1.830539999999999945e-01
2.244661397600000259e+06 -3.398689999999999767e-01
2.244661897600000259e+06 3.786499999999999866e-01
2.244662397600000259e+06 -4.498809999999999754e-01
2.244662897600000259e+06 1.444039999999999990e+00
2.244663397600000259e+06 4.446899999999999742e-01
2.244663897600000259e+06 -1.466939999999999911e-01
2.244664397600000259e+06 -3.734640000000000182e-02
